"dist [mm]","CplCoef(Tx_in,Rx_in) []"
35,0.218970574815965
40,0.176075611347343
45,0.143127095416628
50,0.117064676798047
55,0.0964494601376685
60,0.0796196082745873
65,0.0661009616758978
