"Freq [MHz]","((mag(V_out.v)*mag(I_out.i))/(mag(V_in.v)*mag(I_in.i)))*100 []"
6.0095,10.1604523755675
6.0096,10.1638135797281
6.0097,10.1671760405401
6.0098,10.1705397585132
6.0099,10.1739047341574
6.01,10.1772709679826
6.0101,10.1806384604992
6.0102,10.1840072122179
6.0103,10.1873772236493
6.0104,10.1907484953043
6.0105,10.1941210276942
6.0106,10.1974948213303
6.0107,10.2008698767243
6.0108,10.2042461943878
6.0109,10.207623774833
6.011,10.211002618572
6.0111,10.2143827261172
6.0112,10.2177640979813
6.0113,10.2211467346772
6.0114,10.2245306367178
6.0115,10.2279158046165
6.0116,10.2313022388867
6.0117,10.2346899400422
6.0118,10.2380789085967
6.0119,10.2414691450645
6.012,10.2448606499597
6.0121,10.2482534237971
6.0122,10.2516474670912
6.0123,10.2550427803571
6.0124,10.2584393641099
6.0125,10.2618372188651
6.0126,10.265236345138
6.0127,10.2686367434446
6.0128,10.2720384143009
6.0129,10.2754413582231
6.013,10.2788455757276
6.0131,10.282251067331
6.0132,10.2856578335502
6.0133,10.2890658749023
6.0134,10.2924751919045
6.0135,10.2958857850743
6.0136,10.2992976549295
6.0137,10.3027108019878
6.0138,10.3061252267676
6.0139,10.3095409297869
6.014,10.3129579115646
6.0141,10.3163761726191
6.0142,10.3197957134697
6.0143,10.3232165346353
6.0144,10.3266386366356
6.0145,10.3300620199899
6.0146,10.3334866852181
6.0147,10.3369126328404
6.0148,10.3403398633769
6.0149,10.343768377348
6.015,10.3471981752745
6.0151,10.3506292576772
6.0152,10.3540616250773
6.0153,10.357495277996
6.0154,10.3609302169548
6.0155,10.3643664424756
6.0156,10.3678039550801
6.0157,10.3712427552907
6.0158,10.3746828436297
6.0159,10.3781242206196
6.016,10.3815668867832
6.0161,10.3850108426437
6.0162,10.3884560887241
6.0163,10.3919026255481
6.0164,10.395350453639
6.0165,10.398799573521
6.0166,10.4022499857181
6.0167,10.4057016907545
6.0168,10.4091546891547
6.0169,10.4126089814435
6.017,10.4160645681459
6.0171,10.419521449787
6.0172,10.4229796268921
6.0173,10.4264390999869
6.0174,10.4298998695971
6.0175,10.4333619362488
6.0176,10.4368253004681
6.0177,10.4402899627816
6.0178,10.4437559237158
6.0179,10.4472231837977
6.018,10.4506917435544
6.0181,10.454161603513
6.0182,10.4576327642013
6.0183,10.4611052261468
6.0184,10.4645789898775
6.0185,10.4680540559217
6.0186,10.4715304248076
6.0187,10.4750080970639
6.0188,10.4784870732194
6.0189,10.4819673538031
6.019,10.4854489393442
6.0191,10.4889318303723
6.0192,10.4924160274169
6.0193,10.495901531008
6.0194,10.4993883416756
6.0195,10.5028764599502
6.0196,10.5063658863621
6.0197,10.5098566214423
6.0198,10.5133486657215
6.0199,10.5168420197311
6.02,10.5203366840025
6.0201,10.5238326590672
6.0202,10.5273299454571
6.0203,10.5308285437042
6.0204,10.5343284543408
6.0205,10.5378296778995
6.0206,10.5413322149128
6.0207,10.5448360659137
6.0208,10.5483412314354
6.0209,10.5518477120112
6.021,10.5553555081746
6.0211,10.5588646204595
6.0212,10.5623750493999
6.0213,10.56588679553
6.0214,10.5693998593842
6.0215,10.5729142414971
6.0216,10.5764299424038
6.0217,10.5799469626391
6.0218,10.5834653027386
6.0219,10.5869849632376
6.022,10.590505944672
6.0221,10.5940282475776
6.0222,10.5975518724907
6.0223,10.6010768199477
6.0224,10.6046030904853
6.0225,10.6081306846401
6.0226,10.6116596029494
6.0227,10.6151898459503
6.0228,10.6187214141803
