"dist [mm]","Matrix1.L(Rx_in,Rx_in) [uH]","Matrix1.L(Tx_in,Rx_in) [nH]","Matrix1.L(Rx_in,Tx_in) [nH]","Matrix1.L(Tx_in,Tx_in) [uH]"
35,1.02647288463527,223.581635118681,223.581635118681,1.0156714797068
40,1.02463890889812,179.721018779661,179.721018779661,1.01678350046544
45,1.02408387815789,145.985594974451,145.985594974451,1.01587614754628
50,1.02459885130844,119.465241793771,119.465241793771,1.0164301230164
55,1.02359893025095,98.3357673422515,98.3357673422515,1.01553196207119
60,1.02493686564802,81.2779667409493,81.2779667409493,1.01673663877244
65,1.02195686249112,67.3891246015781,67.3891246015781,1.01702472105244
